BHP3958-Shelf1-0(GigabitEthernet0/2/0)-BHP0813__S_ModelTownCBHP-Shelf1-1(GigabitEthernet0/2/1),BHP3958_BHP0813,L2 Link,Central B,BAHAWALPUR,BHP3958__P_FaizabadBHP,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP10,10.210.146.20,Shelf1-0(GigabitEthernet0/2/0),10.210.157.218,BHP0813__S_ModelTownCBHP,ATN910C-G,10.210.146.19,Shelf1-1(GigabitEthernet0/2/1),10.210.157.217,10GE,10,BHP3958__P_FaizabadBHP_GigabitEthernet0/2/0,BHP0813__S_ModelTownCBHP_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP0871__P_QasimColony-Shelf1-0(GigabitEthernet0/2/0)-BHP3958-Shelf1-1(GigabitEthernet0/2/1),BHP0871_BHP3958,L2 Link,Central B,BAHAWALPUR,BHP0871__P_QasimColony,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP10,10.210.146.21,Shelf1-0(GigabitEthernet0/2/0),10.210.157.222,BHP3958__P_FaizabadBHP,ATN910C-G,10.210.146.20,Shelf1-1(GigabitEthernet0/2/1),10.210.157.221,10GE,10,BHP0871__P_QasimColony_GigabitEthernet0/2/0,BHP3958__P_FaizabadBHP_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP3576-Shelf1-1(GigabitEthernet0/2/1)-BHP4122-Shelf1-0(GigabitEthernet0/2/0),BHP3576_BHP4122,L2 Link,Central B,BAHAWALPUR,BHP3576__S_QasimTwnBHP,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP6,10.210.146.27,Shelf1-1(GigabitEthernet0/2/1),10.210.157.145,BHP4122__S_ShadmanColony,ATN910C-G,10.210.146.28,Shelf1-0(GigabitEthernet0/2/0),10.210.157.146,10GE,10,BHP3576__S_QasimTwnBHP_GigabitEthernet0/2/1,BHP4122__S_ShadmanColony_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP3101-Shelf1-1(GigabitEthernet0/2/1)-BHP3576-Shelf1-0(GigabitEthernet0/2/0),BHP3101_BHP3576,L2 Link,Central B,BAHAWALPUR,BHP3101__P_BalochColonyBHP,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP6,10.210.146.26,Shelf1-1(GigabitEthernet0/2/1),10.210.157.141,BHP3576__S_QasimTwnBHP,ATN910C-G,10.210.146.27,Shelf1-0(GigabitEthernet0/2/0),10.210.157.142,10GE,10,BHP3101__P_BalochColonyBHP_GigabitEthernet0/2/1,BHP3576__S_QasimTwnBHP_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP0399-Shelf1-0(GigabitEthernet0/2/0)-BHP8383-Shelf1-1(GigabitEthernet0/2/1),BHP0399_BHP8383,L2 Link,Central B,BAHAWALPUR,BHP0399__H_Satellite_Town,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP5,10.210.146.32,Shelf1-0(GigabitEthernet0/2/0),10.210.157.134,BHP8383__P_MushtaqColony,ATN910C-G,10.210.146.37,Shelf1-1(GigabitEthernet0/2/1),10.210.157.133,10GE,10,BHP0399__H_Satellite_Town_GigabitEthernet0/2/0,BHP8383__P_MushtaqColony_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP4216_Satellite town hasilpur road Bahawalpur-Shelf1-1(GigabitEthernet0/2/1)-BHP7763-Shelf1-0(GigabitEthernet0/2/0),BHP4216_BHP7763,L2 Link,Central B,BAHAWALPUR,BHP4216_Satellite town hasilpur road Bahawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP8,10.210.146.65,Shelf1-1(GigabitEthernet0/2/1),10.210.157.185,BHP7763__P_TibbaBadarSher,ATN910C-G,10.210.146.70,Shelf1-0(GigabitEthernet0/2/0),10.210.157.186,FE,10,BHP4216_Satellite town hasilpur road Bahawalpur_GigabitEthernet0/2/1,BHP7763__P_TibbaBadarSher_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP7940-Shelf1-1(GigabitEthernet0/2/1)-BHP(MGW0003)-Shelf1-0(GigabitEthernet0/2/0),BHP7940_BHP(MGW,L2 Link,Central B,BAHAWALPUR,BHP7940__P_MaqboolColony,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP7,10.210.146.69,Shelf1-1(GigabitEthernet0/2/1),10.210.157.181,BHP(MGW0003),ATN910C-G,10.210.146.72,Shelf1-0(GigabitEthernet0/2/0),10.210.157.182,10GE,10,BHP7940__P_MaqboolColony_GigabitEthernet0/2/1,BHP(MGW0003)_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP0881-Shelf1-1(GigabitEthernet0/2/1)-BHP7940-Shelf1-0(GigabitEthernet0/2/0),BHP0881_BHP7940,L2 Link,Central B,BAHAWALPUR,BHP0881__P_GulbergColony,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP7,10.210.146.68,Shelf1-1(GigabitEthernet0/2/1),10.210.157.177,BHP7940__P_MaqboolColony,ATN910C-G,10.210.146.69,Shelf1-0(GigabitEthernet0/2/0),10.210.157.178,10GE,10,BHP0881__P_GulbergColony_GigabitEthernet0/2/1,BHP7940__P_MaqboolColony_GigabitEthernet0/2/0,2023-07-04 00:00:00
BHP7939-Shelf1-0(GigabitEthernet0/2/0)-BHP0871-Shelf1-1(GigabitEthernet0/2/1),BHP7939_BHP0871,L2 Link,Central B,BAHAWALPUR,BHP7939__P_Azizabad,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP10,10.210.146.22,Shelf1-0(GigabitEthernet0/2/0),10.210.157.226,BHP0871__P_QasimColony,ATN910C-G,10.210.146.21,Shelf1-1(GigabitEthernet0/2/1),10.210.157.225,10GE,10,BHP7939__P_Azizabad_GigabitEthernet0/2/0,BHP0871__P_QasimColony_GigabitEthernet0/2/1,2023-07-04 00:00:00
BHP0062__AL Karim Plaza Circular Road Near Darawri Gate Bahawalpur-Shelf1-9(GigabitEthernet0/2/9)-BHP3581-Shelf1-0(GigabitEthernet0/2/0),BHP0062_BHP3581,L2 Link,Central B,BAHAWALPUR,BHP0062__AL Karim Plaza Circular Road Near Darawri Gate Bahawalpur,ATN910C-G,ROOT/NWD FTTS/FTTS BHP/BHP9,10.210.146.1,Shelf1-9(GigabitEthernet0/2/9),10.210.157.197,BHP3581,ATN910C-G,10.210.146.16,Shelf1-0(GigabitEthernet0/2/0),10.210.157.198,10GE,10,BHP0062__AL Karim Plaza Circular Road Near Darawri Gate Bahawalpur_GigabitEthernet0/2/9,BHP3581_GigabitEthernet0/2/0,2023-07-04 00:00:00
