67,,,,,,,,,Bannu,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
68,,,,,,,,,Sialkot,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
69,,,,,,,,,Muzaffargarh,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
70,,,,,,,,,Kohistan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
71,,,,,,,,,Malakand Protected Area,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
72,,,,,,,,,Nankana Sahib,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
73,,,,,,,,,Thatta,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
74,,,,,,,,,Tando Mohammad Khan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
75,,,,,,,,,Sujawal,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
76,,,,,,,,,Mirpur Khas,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
77,,,,,,,,,Thar Parkar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
78,,,,,,,,,Chagai,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
79,,,,,,,,,Charsadda,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
80,,,,,,,,,Sukkur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
81,,,,,,,,,Diamir,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
82,,,,,,,,,Killa Abdullah,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
83,,,,,,,,,Kohat,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
84,,,,,,,,,Washuk,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
85,,,,,,,,,Kachhi(Bolan),,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
86,,,,,,,,,Kotli,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
87,,,,,,,,,Mirpur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
88,,,,,,,,,Buner,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
89,,,,,,,,,Rajanpur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
90,,,,,,,,,Loralai,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
91,,,,,,,,,Nasirabad,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
92,,,,,,,,,Poonch,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
93,,,,,,,,,Muzaffarabad,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
94,,,,,,,,,Mastung,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
95,,,,,,,,,Sheikhupura,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
96,,,,,,,,,Barkhan,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
97,,,,,,,,,Swabi,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
98,,,,,,,,,Hattian,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
99,,,,,,,,,Ghizer,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
100,,,,,,,,,Gilgit,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
101,,,,,,,,,Gwadar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
102,,,,,,,,,Peshawar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
103,,,,,,,,,Hafizabad,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
104,,,,,,,,,Malir,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
105,,,,,,,,,Pishin,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
106,,,,,,,,,Hyderabad,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
107,,,,,,,,,Sohbatpur,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
108,,,,,,,,,Hangu,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
109,,,,,,,,,Harnai,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
110,,,,,,,,,Hunza,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
111,,,,,,,,,Nagar,,,,,,,,,,2025-06-16 14:53:54.503865,2025-06-16 14:53:54.503865
